state,academic_year,tuition
Missouri,2006-07,7653.346457002457
Missouri,2007-08,7842.470619299088
Missouri,2008-09,7842.151952137622
Missouri,2009-10,7995.730737261494
Missouri,2010-11,7959.475595268129
Missouri,2011-12,8118.093811138357
Missouri,2012-13,8276.180380962358
Missouri,2013-14,8268.235851641295
Missouri,2014-15,8409.01544957015
Missouri,2015-16,8564.109743438288
Montana,2004-05,5629.9159028511085
Montana,2005-06,6006.6549232343905
Montana,2006-07,6166.303351351351
Montana,2007-08,6074.620777724436
Montana,2008-09,5789.391645905693
Montana,2009-10,6078.528495340166
Montana,2010-11,6143.388397833137
Montana,2011-12,6212.4280680942975
Montana,2012-13,6411.56579544661
Montana,2013-14,6360.14598593575
Montana,2014-15,6301.408097643047
Montana,2015-16,6351.076487252125
Nebraska,2004-05,5947.449208025342
Nebraska,2005-06,6475.6576663254855
Nebraska,2006-07,6132.29369041769
Nebraska,2007-08,6394.2773595775325
Nebraska,2008-09,6462.072084522922
Nebraska,2009-10,6908.577327247146
Nebraska,2010-11,7224.940025961992
Nebraska,2011-12,7295.192694823876
Nebraska,2012-13,7483.458761086668
Nebraska,2013-14,7473.389998116405
Nebraska,2014-15,7347.860887453214
Nebraska,2015-16,7607.9658656882075
Nevada,2004-05,3621.3917423442444
Nevada,2005-06,3687.2897952917087
Nevada,2006-07,4274.662555282555
Nevada,2007-08,4523.3124915986555
Nevada,2008-09,4770.606271935407
Nevada,2009-10,5034.595251473177
Nevada,2010-11,5821.5501603130115
Nevada,2011-12,6383.55769690424
Nevada,2012-13,6656.361565053426
Nevada,2013-14,6525.296229387489
Nevada,2014-15,6437.625561908123
Nevada,2015-16,6667.235801581596
New Hampshire,2004-05,10187.52687434002
New Hampshire,2005-06,10484.16548618219
New Hampshire,2006-07,10703.661218673218
New Hampshire,2007-08,11111.21695631301
New Hampshire,2008-09,11167.580249495371
New Hampshire,2009-10,12273.418976461684
New Hampshire,2010-11,13077.141446991207
New Hampshire,2011-12,14262.915112295392
New Hampshire,2012-13,15224.21350129199
New Hampshire,2013-14,14968.851123695791
New Hampshire,2014-15,14755.91044625638
New Hampshire,2015-16,15159.895264116578
New Jersey,2004-05,10053.961277719112
New Jersey,2005-06,10504.92862845445
New Jersey,2006-07,10942.901592137592
New Jersey,2007-08,11427.436370619298
New Jersey,2008-09,11661.240893964467
New Jersey,2009-10,12337.695120988526
New Jersey,2010-11,12752.019145822918
New Jersey,2011-12,12707.959472738377
New Jersey,2012-13,12934.591792373769
New Jersey,2013-14,12998.211640987676
New Jersey,2014-15,13027.171713170668
New Jersey,2015-16,13303.419490336193
New Mexico,2004-05,4925.546388595564
New Mexico,2005-06,5187.121484135107
New Mexico,2006-07,4756.661542997543
New Mexico,2007-08,4867.029246279405
New Mexico,2008-09,4904.057391209471
New Mexico,2009-10,5303.890132852878
New Mexico,2010-11,5613.559462595924
New Mexico,2011-12,5741.293411000256
New Mexico,2012-13,5914.682467351072
New Mexico,2013-14,6089.422280758763
New Mexico,2014-15,6165.582903500137
New Mexico,2015-16,6354.521438963855
New York,2004-05,6234.741246040126
New York,2005-06,6114.134718526099
New York,2006-07,5911.817267813268
New York,2007-08,5815.687489198272
New York,2008-09,5556.123429288428
New York,2009-10,6361.121889380593
New York,2010-11,6341.526904605731
New York,2011-12,6553.630969980789
New York,2012-13,6835.531234723095
New York,2013-14,7076.293107639684
New York,2014-15,7305.822053253363
New York,2015-16,7643.525099747241
North Carolina,2004-05,4493.348278775079
North Carolina,2005-06,4464.075588536335
North Carolina,2006-07,4769.56175921376
North Carolina,2007-08,4933.481152184349
North Carolina,2008-09,4764.096461239112
North Carolina,2009-10,5030.162413919601
North Carolina,2010-11,5827.023599726619
North Carolina,2011-12,6009.607767282513
North Carolina,2012-13,6459.483265241986
North Carolina,2013-14,6657.225808356349
North Carolina,2014-15,6684.522509947718
North Carolina,2015-16,6973.066091916937
North Dakota,2004-05,5803.803189017951
North Dakota,2005-06,6197.187287615147
North Dakota,2006-07,6464.181071253071
North Dakota,2007-08,6648.627758041286
North Dakota,2008-09,6625.902320379698
North Dakota,2009-10,7020.506475474923
North Dakota,2010-11,7191.004701597626
North Dakota,2011-12,7247.656686821115
North Dakota,2012-13,7298.038986661079
North Dakota,2013-14,7431.147839039948
North Dakota,2014-15,7526.6144295783415
North Dakota,2015-16,7687.698216924241
Ohio,2004-05,10377.934353284025
Ohio,2005-06,10186.406343171831
Ohio,2006-07,9903.031117442542
Ohio,2007-08,9695.103927028324
Ohio,2008-09,9194.022640068373
Ohio,2009-10,9425.320848289537
Ohio,2010-11,9913.49346592603
Ohio,2011-12,9980.448969113233
Ohio,2012-13,10175.170542635658
Ohio,2013-14,10156.820922400071
Ohio,2014-15,10103.81357775421
Ohio,2015-16,10195.895607219012
Oklahoma,2004-05,4454.286642027455
Oklahoma,2005-06,4638.730255885363
Oklahoma,2006-07,5197.614388206388
Oklahoma,2007-08,5720.592520403265
Oklahoma,2008-09,6120.307022967394
Oklahoma,2009-10,6007.603094482961
Oklahoma,2010-11,6294.455325648706
Oklahoma,2011-12,6413.135657439292
Oklahoma,2012-13,6669.903458691249
Oklahoma,2013-14,6725.540171920751
Oklahoma,2014-15,7093.6355597583215
Oklahoma,2015-16,7449.698064176078
Oregon,2004-05,6578.73565997888
Oregon,2005-06,6631.991914022517
Oregon,2006-07,6539.236874692875
Oregon,2007-08,6812.466077772444
Oregon,2008-09,6769.118155698205
Oregon,2009-10,7653.2940362478
Oregon,2010-11,8137.909720151735
Oregon,2011-12,8444.507732757322
Oregon,2012-13,8658.478455199385
Oregon,2013-14,8786.486343366547
Oregon,2014-15,8949.344584582544
Oregon,2015-16,9371.346119665925
Pennsylvania,2004-05,10394.175533262935
Pennsylvania,2005-06,10556.22580348004
Pennsylvania,2006-07,10614.532452088451
Pennsylvania,2007-08,11218.914872779644
Pennsylvania,2008-09,11232.67835645833
Pennsylvania,2009-10,11928.765856671203
Pennsylvania,2010-11,12403.908399117476
Pennsylvania,2011-12,12766.059038075087
Pennsylvania,2012-13,12892.92442733431
Pennsylvania,2013-14,13079.19873627973
Pennsylvania,2014-15,13157.057396496297
Pennsylvania,2015-16,13394.777550376328
Rhode Island,2004-05,7475.893252375923
Rhode Island,2005-06,7864.345475946775
Rhode Island,2006-07,7959.433405405405
Rhode Island,2007-08,8273.262285165627
Rhode Island,2008-09,8383.551208379553
Rhode Island,2009-10,9423.10442951275
Rhode Island,2010-11,10201.396379081789
Rhode Island,2011-12,10578.34631421464
Rhode Island,2012-13,11376.232339898037
Rhode Island,2013-14,11131.51559088946
Rhode Island,2014-15,10977.287113668464
Rhode Island,2015-16,11390.118397085611
South Carolina,2004-05,8330.20904963041
South Carolina,2005-06,9019.75327533265
South Carolina,2006-07,9279.946447174447
South Carolina,2007-08,9590.843178108496
South Carolina,2008-09,9907.931879762142
South Carolina,2009-10,10550.153377509276
South Carolina,2010-11,11015.844163826596
South Carolina,2011-12,10939.61997503563
South Carolina,2012-13,11191.854249598435
South Carolina,2013-14,11407.37371524242
South Carolina,2014-15,11469.805565788885
South Carolina,2015-16,11816.025925316488
South Dakota,2004-05,5478.709567053854
South Dakota,2005-06,5609.712497441145
South Dakota,2006-07,5827.379488943489
South Dakota,2007-08,6121.595400864138
South Dakota,2008-09,6182.150224582204
South Dakota,2009-10,6683.610821403198
South Dakota,2010-11,6916.238043034526
South Dakota,2011-12,7175.824496950274
South Dakota,2012-13,7695.962322787904
South Dakota,2013-14,7809.311143180273
South Dakota,2014-15,7713.289486051242
South Dakota,2015-16,8054.912800263244
Tennessee,2004-05,5425.787349524815
Tennessee,2005-06,5817.343920163766
Tennessee,2006-07,5832.070476658477
Tennessee,2007-08,6146.8012962073935
Tennessee,2008-09,6169.130603189612
Tennessee,2009-10,6757.860850425584
Tennessee,2010-11,7139.554371109714
Tennessee,2011-12,7574.07060844008
Tennessee,2012-13,7995.967351072002
Tennessee,2013-14,8210.001643863765
Tennessee,2014-15,8940.602952765204
Tennessee,2015-16,9263.479110787835
Texas,2004-05,6394.767951425553
